STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AF,2003,1.20234,0,E,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AF,2004,1.19937,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AF,2009,3.77498,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AF,2011,3.62226,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AF,2014,8.23068,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AF,2018,9.68642,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AG,2009,15.05298,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AG,2010,16.72623,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AG,2011,15.05922,0,E,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AG,2012,24.83026,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AI,2000,0,0,Z,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AI,2001,0,0,Z,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AI,2002,0,0,Z,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AI,2003,1.04712,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AI,2004,1.79641,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AI,2005,2.79188,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AI,2006,3.96290,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AI,2007,4.58015,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AI,2008,4.63519,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2000,12.59869,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2001,13.56154,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2002,14.67668,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2003,15.81777,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2004,16.80931,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2005,17.43309,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2006,18.29911,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2007,19.29013,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2008,20.38786,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2009,21.61828,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2010,23.20689,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2011,25.71739,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2012,27.61617,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2013,28.71528,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2014,32.36945,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2015,33.82342,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2016,34.38379,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2017,34.79776,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_ASIA_PAC,2018,35.12070,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2000,20.66542,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2001,22.21337,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2002,23.66035,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2003,24.62440,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2004,25.85266,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2005,25.45232,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2006,26.81715,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2007,26.03362,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2008,25.62051,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2009,24.41614,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2010,23.10809,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2011,23.11865,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2012,23.43577,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2013,23.17553,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2014,22.55172,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2015,22.11236,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2016,22.23064,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2017,23.14156,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_CAS,2018,24.00583,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_EAS,2000,14.97605,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_EAS,2001,16.55133,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_EAS,2002,18.44585,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_EAS,2003,20.29510,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_EAS,2004,21.80254,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_EAS,2005,22.81016,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_EAS,2006,23.53416,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_EAS,2007,23.92846,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_EAS,2008,24.40485,0,A,A,5
GER,PT,L5T8,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AIMS_EAS,2009,25.91784,0,A,A,5
