DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,TIME_PERIOD,OBS_VALUE,S3,T3,I13,T12,R1,S4,T33,S8,T5,S14,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_FLK_EMP_PTER_SEX_RT(1.0),YI,FLK,A,1140,EMP_PTER_RT,SEX_T,2012,12.43,,95,,,,,,,,,,,85,41,,RT,PT,0,,1,AA,EMP_PTER_SEX_RT
ILO:DF_YI_FLK_EMP_PTER_SEX_RT(1.0),YI,FLK,A,1140,EMP_PTER_RT,SEX_T,2016,9.60,,94,,,,,,,,,,,,41,,RT,PT,0,,1,AA,EMP_PTER_SEX_RT
ILO:DF_YI_FLK_EMP_PTER_SEX_RT(1.0),YI,FLK,A,1140,EMP_PTER_RT,SEX_M,2012,6.62,,95,,,,,,,,,,,85,41,,RT,PT,0,,1,AA,EMP_PTER_SEX_RT
ILO:DF_YI_FLK_EMP_PTER_SEX_RT(1.0),YI,FLK,A,1140,EMP_PTER_RT,SEX_M,2016,6.55,,94,,,,,,,,,,,,41,,RT,PT,0,,1,AA,EMP_PTER_SEX_RT
ILO:DF_YI_FLK_EMP_PTER_SEX_RT(1.0),YI,FLK,A,1140,EMP_PTER_RT,SEX_F,2012,20.97,,95,,,,,,,,,,,85,41,,RT,PT,0,,1,AA,EMP_PTER_SEX_RT
ILO:DF_YI_FLK_EMP_PTER_SEX_RT(1.0),YI,FLK,A,1140,EMP_PTER_RT,SEX_F,2016,13.57,,94,,,,,,,,,,,,41,,RT,PT,0,,1,AA,EMP_PTER_SEX_RT
