DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,TIME_PERIOD,OBS_VALUE,S3,T3,I13,T12,R1,S4,T33,S8,T5,S14,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_BEN_EMP_PTER_SEX_RT(1.0),YI,BEN,A,426,EMP_PTER_RT,SEX_M,2011,20.18,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_BEN_EMP_PTER_SEX_RT(1.0),YI,BEN,A,426,EMP_PTER_RT,SEX_M,2010,20.21,,94,,,,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_BEN_EMP_PTER_SEX_RT(1.0),YI,BEN,A,426,EMP_PTER_RT,SEX_T,2011,26.13,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_BEN_EMP_PTER_SEX_RT(1.0),YI,BEN,A,426,EMP_PTER_RT,SEX_T,2010,25.31,,94,,,,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_BEN_EMP_PTER_SEX_RT(1.0),YI,BEN,A,426,EMP_PTER_RT,SEX_F,2010,29.88,,94,,,,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_BEN_EMP_PTER_SEX_RT(1.0),YI,BEN,A,426,EMP_PTER_RT,SEX_F,2011,31.69,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
