DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,TIME_PERIOD,OBS_VALUE,S3,T3,I13,T12,R1,S4,T33,S8,T5,S14,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,867,EMP_PTER_RT,SEX_T,2008,26.52,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,867,EMP_PTER_RT,SEX_T,2016,35.67,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,867,EMP_PTER_RT,SEX_T,2017,32.96,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,867,EMP_PTER_RT,SEX_T,2014,32,,240,,,3513,,,,,,264,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,867,EMP_PTER_RT,SEX_T,2015,36.89,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,173,EMP_PTER_RT,SEX_M,2010,30.09,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,173,EMP_PTER_RT,SEX_M,2013,25.94,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,173,EMP_PTER_RT,SEX_M,2008,30.31,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,173,EMP_PTER_RT,SEX_M,2011,31.13,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,173,EMP_PTER_RT,SEX_M,2009,32.83,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,173,EMP_PTER_RT,SEX_M,2012,26.92,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,173,EMP_PTER_RT,SEX_F,2010,54.25,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,173,EMP_PTER_RT,SEX_F,2013,46.32,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,173,EMP_PTER_RT,SEX_F,2008,49.36,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,173,EMP_PTER_RT,SEX_F,2009,53.10,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,173,EMP_PTER_RT,SEX_F,2012,45.10,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,173,EMP_PTER_RT,SEX_F,2011,51.42,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BB,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,867,EMP_PTER_RT,SEX_F,2016,46.38,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,867,EMP_PTER_RT,SEX_F,2008,34.63,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,867,EMP_PTER_RT,SEX_F,2014,40.65,,240,,,3513,,,,,,264,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,867,EMP_PTER_RT,SEX_F,2015,47.73,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,867,EMP_PTER_RT,SEX_F,2017,42.94,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ARM_EMP_PTER_SEX_RT(1.0),YI,ARM,A,867,EMP_PTER_RT,SEX_M,2008,19.95,,240,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
