DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,I12,T3,S3,C10,I13,S11,S4,R1,T5,S8,C6,S14,S9,S7,C2,I11,S5,T2,S6,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_AGGREGATE_Y25-54,1975,74.61,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_AGGREGATE_Y25-54,1968,70.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_AGGREGATE_Y25-54,1962,69.23,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_AGGREGATE_Y25-54,1982,79.38,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_AGGREGATE_Y25-54,1990,85.16,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_Y55-64,1975,66.91,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_Y55-64,1982,60.04,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_Y55-64,1968,74.44,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_Y55-64,1990,46.20,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_Y55-64,1962,78.67,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_Y25-54,1975,95.44,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_Y25-54,1982,94.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_Y25-54,1968,95.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_Y25-54,1962,95.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_Y25-54,1990,95.47,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_TOTAL,1962,55.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_TOTAL,1968,54.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_TOTAL,1990,51.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_TOTAL,1975,53,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_TOTAL,1982,52.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y35-39,1962,68.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y35-39,1990,86.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y35-39,1968,69.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y35-39,1982,81.50,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y35-39,1975,74.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y45-49,1962,69.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y45-49,1982,76.90,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y45-49,1968,70.20,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y45-49,1975,72.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y45-49,1990,84,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y40-44,1962,96.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y40-44,1990,97,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y40-44,1982,96.20,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y40-44,1968,96.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y40-44,1975,96.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y30-34,1962,68.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y30-34,1982,81.90,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y30-34,1990,86.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y30-34,1975,76.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y30-34,1968,70.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y20-24,1962,50.30,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y20-24,1975,70.90,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y20-24,1968,71.20,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y20-24,1990,67.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y20-24,1982,69.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_AGGREGATE_Y55-64,1968,54.95,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_AGGREGATE_Y55-64,1962,57.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_AGGREGATE_Y55-64,1982,46.72,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_AGGREGATE_Y55-64,1975,49.61,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_AGGREGATE_Y55-64,1990,38.65,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,1968,72.98,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,1975,69.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,1962,75.41,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,1982,67.21,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,1990,64.54,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_Y55-64,1968,37.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_Y55-64,1982,34.64,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_Y55-64,1962,38.59,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_Y55-64,1990,31.68,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_Y55-64,1975,34.06,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_Y15-64,1975,63.97,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_Y15-64,1962,62.64,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_Y15-64,1968,62.72,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_Y15-64,1982,65.59,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_Y15-64,1990,67.14,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_Y25-34,1968,71.77,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_Y25-34,1962,69.51,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_Y25-34,1990,86.84,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_Y25-34,1975,78.06,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_Y25-34,1982,81.99,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_TOTAL,1968,72.98,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_TOTAL,1990,64.54,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_TOTAL,1975,69.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_TOTAL,1962,75.41,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_TOTAL,1982,67.21,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_Y35-44,1968,96.91,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_Y35-44,1990,97.12,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_Y35-44,1982,96.49,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_Y35-44,1975,97.07,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_FRA_EAP_DWAP_SEX_AGE_RT(1.0),YI,FRA,A,47,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_Y35-44,1962,97.02,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
