DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,I12,T3,S3,C10,I13,S11,S4,R1,T5,S8,C6,S14,S9,S7,C2,I11,S5,T2,S6,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_GUY_EAP_DWAP_SEX_AGE_RT(1.0),YI,GUY,A,1213,EAP_DWAP_RT,SEX_F,AGE_YTHADULT_YGE15,1960,14.19,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_GUY_EAP_DWAP_SEX_AGE_RT(1.0),YI,GUY,A,1213,EAP_DWAP_RT,SEX_F,AGE_YTHADULT_YGE15,2002,34.12,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_GUY_EAP_DWAP_SEX_AGE_RT(1.0),YI,GUY,A,1213,EAP_DWAP_RT,SEX_F,AGE_YTHADULT_YGE15,1980,27.94,,94,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_GUY_EAP_DWAP_SEX_AGE_RT(1.0),YI,GUY,A,1213,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,1980,87.65,,94,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_GUY_EAP_DWAP_SEX_AGE_RT(1.0),YI,GUY,A,1213,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,1960,48.30,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_GUY_EAP_DWAP_SEX_AGE_RT(1.0),YI,GUY,A,1213,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2002,78.52,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_GUY_EAP_DWAP_SEX_AGE_RT(1.0),YI,GUY,A,1213,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_Y15-64,1980,87.65,,94,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_GUY_EAP_DWAP_SEX_AGE_RT(1.0),YI,GUY,A,1213,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_Y15-64,2002,82.32,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_GUY_EAP_DWAP_SEX_AGE_RT(1.0),YI,GUY,A,1213,EAP_DWAP_RT,SEX_F,AGE_YTHADULT_Y15-24,1980,28,,94,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_GUY_EAP_DWAP_SEX_AGE_RT(1.0),YI,GUY,A,1213,EAP_DWAP_RT,SEX_F,AGE_YTHADULT_Y15-24,2002,31.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
