DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,TIME_PERIOD,OBS_VALUE,S3,T3,I13,T12,R1,S4,T33,S8,T5,S14,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2006,30.53,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2009,30.25,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2014,30.44,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2017,28.31,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2012,30.21,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2008,28.18,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2010,28.06,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2016,26.39,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2018,25.42,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2015,29.56,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2007,29.42,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2011,29.24,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_T,2013,27.99,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_M,2006,28.67,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PHL_EMP_PTER_SEX_RT(1.0),YI,PHL,A,629,EMP_PTER_RT,SEX_M,2014,28.82,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
