DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,TIME_PERIOD,OBS_VALUE,S3,T3,I13,T12,R1,S4,T33,S8,T5,S14,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1988,16.90,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1989,17.52,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1991,19.53,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1992,23.22,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1995,18.31,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2003,31.06,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2016,29.87,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1993,19.17,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1994,19.62,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2001,25.42,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2007,28.41,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2014,28.76,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2015,26.77,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2017,29.72,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1986,20.07,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2012,29.71,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1990,16.06,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1999,20.66,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2002,27.98,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2005,25.73,,,,145,2384,,,,,,264,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2008,28.71,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2009,26.99,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2013,28.41,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2018,28.83,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1987,16.66,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1996,22.95,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1997,26.03,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,1998,24.59,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2000,25.24,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2004,22.63,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2006,26.22,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2010,26.36,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_T,2011,28.95,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1989,12.08,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1996,17.24,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2012,26.35,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2014,25.66,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1990,11.21,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2004,17.48,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2016,26.18,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2018,25.35,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1992,17.03,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1998,18.36,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2001,20.03,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2006,21.57,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2015,23.12,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1986,15.43,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2000,19.25,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2005,20.42,,,,145,2384,,,,,,264,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1987,12.09,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1993,13.35,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1997,19.93,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1999,14.62,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2017,25.75,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1988,11.82,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2002,22.79,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2009,22.42,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2010,22.50,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,2011,25.27,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1991,14.25,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1994,13.64,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_PRT_EMP_PTER_SEX_RT(1.0),YI,PRT,A,2252,EMP_PTER_RT,SEX_M,1995,12.35,,,,145,2384,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
