DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,TIME_PERIOD,OBS_VALUE,S3,T3,T12,I13,R1,S4,T33,S8,T5,S14,S7,I11,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1976,34.32,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1977,33.57,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1978,30.45,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1979,29.71,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1980,33.02,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1981,36.98,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1982,36.32,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1983,35.5,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1984,35.0,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1985,35.01,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1986,34.9,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1987,37.42,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1988,34.23,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1989,30.66,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1990,32.51,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1991,36.03,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1992,39.61,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1993,38.04,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1994,36.09,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1995,37.16,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1996,35.87,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1997,35.57,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1998,36.95,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,1999,35.72,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,2000,33.89,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,2001,37.24,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,2002,38.0,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,2003,41.24,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,2004,39.52,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,2005,38.2,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,2006,39.65,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,2007,38.25,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,2008,39.45,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,2009,42.61,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_T,2010,41.12,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
