DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,TIME_PERIOD,OBS_VALUE,S3,T3,T12,I13,R1,S4,T33,S8,T5,S14,S7,I11,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,1998,27.03,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,1999,25.99,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2000,24.38,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2001,27.88,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2002,28.41,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2003,31.8,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2004,29.8,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2005,28.83,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2006,30.36,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2007,28.89,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2008,30.23,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2009,33.65,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2010,31.72,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2011,31.39,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2012,29.8,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2013,31.28,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2014,33.97,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2015,31.54,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2016,31.33,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
