DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,ECO,TIME_PERIOD,OBS_VALUE,S3,T3,S11,T12,I13,R1,S4,T5,S14,S7,S9,I11,C5,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1980,24.35,,,,,,,,,,,,,2071.0,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1981,23.7,,,,,,,,,,,,,2071.0,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1982,22.87,,,,,,,,,,,,,2071.0,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1983,22.13,,,,,,,,,,,,,2071.0,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1984,21.47,,,,,,,,,,,,,2071.0,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1985,20.96,,,,,,,,,,,,,2071.0,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1986,20.44,,,,,,,,,,,,,2071.0,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1987,19.72,,,,,,,,,,,,,2071.0,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1979,24.93,,,,,,,,,,,,,,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1988,19.26,,,,,,,,,,,,,,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1989,18.66,,,,,,,,,,,,,,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1990,18.49,,,,,,,,,,,,,,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_ALL_EMP_TEMP_SEX_ECO_DT(1.0),YI,BGR,A,915,EMP_TEMP_DT,SEX_T,ECO_SECTOR_AGR,1991,19.54,,,,,,,,,,,,,,,41.0,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
