DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,ECO,TIME_PERIOD,OBS_VALUE,T3,S3,T12,I13,S11,S4,R1,T5,S14,I11,S7,S9,C5,S5,T2,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_F,ECO_ISIC4_G,2013,8.09,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_F,ECO_ISIC4_L,2013,0.14,,,,,,,3513,,,,,,,,254,U,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_F,ECO_ISIC4_N,2013,1.28,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_F,ECO_ISIC4_O,2013,1.94,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_AGGREGATE_AGR,2013,36.73,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_AGGREGATE_MEL,2013,0.48,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_F,ECO_AGGREGATE_AGR,2013,35.84,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_F,ECO_AGGREGATE_MEL,2013,0.13,,,,,,,3513,,,,,,,,254,U,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_D,2013,0.11,,,,,,,3513,,,,,,,,254,U,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_F,2013,2.30,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_I,2013,0.66,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_U,2013,0.09,,,,,,,3513,,,,,,,,254,U,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_M,ECO_ISIC4_B,2013,0.56,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_M,ECO_ISIC4_O,2013,3.06,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_M,ECO_ISIC4_P,2013,4.95,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_M,ECO_SECTOR_IND,2013,12.58,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_F,ECO_SECTOR_X,2013,15.38,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_M,ECO_AGGREGATE_X,2013,8.54,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_M,ECO_AGGREGATE_MKT,2013,19.72,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_F,ECO_AGGREGATE_PUB,2013,33.29,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_A,2013,36.73,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
