DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,ECO,TIME_PERIOD,OBS_VALUE,T3,S3,T12,I13,S11,S4,R1,T5,S14,I11,S7,S9,C5,S5,T2,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_T,ECO_ISIC3_E,1993,0.40,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_T,ECO_ISIC3_E,2010,1.56,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_T,ECO_ISIC3_H,1993,0.38,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_T,ECO_ISIC3_H,2010,2.71,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_T,ECO_ISIC3_O,1993,3.71,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_T,ECO_ISIC3_O,2010,2.20,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_M,ECO_ISIC3_TOTAL,1993,100,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_M,ECO_ISIC3_TOTAL,2010,100,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_M,ECO_ISIC3_F,1993,2.04,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_M,ECO_ISIC3_F,2010,30.54,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_M,ECO_ISIC3_J,1993,1.53,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_M,ECO_ISIC3_J,2010,4.75,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_M,ECO_ISIC3_X,1993,1.55,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_M,ECO_ISIC3_X,2010,0.07,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_F,ECO_ISIC3_F,1993,0.35,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_F,ECO_ISIC3_F,2010,1.17,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_F,ECO_ISIC3_G,1993,2.93,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_F,ECO_ISIC3_G,2010,6.80,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_F,ECO_ISIC3_I,1993,2.24,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_OMN_EMP_TEMP_SEX_ECO_DT(1.0),YI,OMN,A,719,EMP_TEMP_DT,SEX_F,ECO_ISIC3_I,2010,0.38,,23,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
