DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,STE,TIME_PERIOD,OBS_VALUE,S3,T3,I13,S4,R1,T5,S14,C2,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_M,STE_ICSE93_5,2016,0.01,,104,,,,,,,,57,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_M,STE_ICSE93_5,2018,0.03,,,,,,,4077,,,,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_M,STE_ICSE93_5,2017,0.02,,104,,,,,4077,,,57,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_T,STE_ICSE93_2,2017,0.89,,104,,,,,4077,,,57,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_T,STE_ICSE93_2,2018,0.88,,,,,,,4077,,,,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_T,STE_ICSE93_2,2016,0.80,,104,,,,,,,,57,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_M,STE_ICSE93_1,2017,94.06,,104,,,,,4077,,,57,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_M,STE_ICSE93_1,2016,93.97,,104,,,,,,,,57,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_M,STE_ICSE93_1,2018,94.42,,,,,,,4077,,,,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_F,STE_ICSE93_5,2017,0.04,,104,,,,,4077,,,57,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_F,STE_ICSE93_5,2018,0.04,,,,,,,4077,,,,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_F,STE_ICSE93_5,2016,0.04,,104,,,,,,,,57,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_F,STE_ICSE93_TOTAL,2018,100,,,,,,,4077,,,,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_F,STE_ICSE93_TOTAL,2017,100,,104,,,,,4077,,,57,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_BLR_EMP_TEMP_SEX_STE_DT(1.0),YI,BLR,A,13362,EMP_TEMP_DT,SEX_F,STE_ICSE93_TOTAL,2016,100,,104,,,,,,,,57,,3210,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
