DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,STE,TIME_PERIOD,OBS_VALUE,S3,T3,I13,S4,R1,T5,S14,C2,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_SMR_EMP_TEMP_SEX_STE_DT(1.0),YI,SMR,A,5918,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,1995,13.99,23,,,,,,,,,,83,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SMR_EMP_TEMP_SEX_STE_DT(1.0),YI,SMR,A,5918,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,2007,7.15,23,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SMR_EMP_TEMP_SEX_STE_DT(1.0),YI,SMR,A,5918,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,2005,8.12,23,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SMR_EMP_TEMP_SEX_STE_DT(1.0),YI,SMR,A,5918,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,2008,6.79,23,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SMR_EMP_TEMP_SEX_STE_DT(1.0),YI,SMR,A,5918,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,2004,8.15,23,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SMR_EMP_TEMP_SEX_STE_DT(1.0),YI,SMR,A,5918,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,2010,6.46,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SMR_EMP_TEMP_SEX_STE_DT(1.0),YI,SMR,A,5918,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,1999,11.13,23,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SMR_EMP_TEMP_SEX_STE_DT(1.0),YI,SMR,A,5918,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,2001,9.17,23,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SMR_EMP_TEMP_SEX_STE_DT(1.0),YI,SMR,A,5918,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,2003,8.65,23,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SMR_EMP_TEMP_SEX_STE_DT(1.0),YI,SMR,A,5918,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,2006,7.70,23,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
