DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,STE,TIME_PERIOD,OBS_VALUE,S3,T3,I13,S4,R1,T5,S14,C2,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_IMN_EMP_TEMP_SEX_STE_DT(1.0),YI,IMN,A,1248,EMP_TEMP_DT,SEX_M,STE_ICSE93_TOTAL,2001,100,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_IMN_EMP_TEMP_SEX_STE_DT(1.0),YI,IMN,A,1248,EMP_TEMP_DT,SEX_T,STE_ICSE93_3,2001,10.15,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_IMN_EMP_TEMP_SEX_STE_DT(1.0),YI,IMN,A,1248,EMP_TEMP_DT,SEX_M,STE_ICSE93_1,2001,79.67,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_IMN_EMP_TEMP_SEX_STE_DT(1.0),YI,IMN,A,1248,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2001,14.20,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_IMN_EMP_TEMP_SEX_STE_DT(1.0),YI,IMN,A,1248,EMP_TEMP_DT,SEX_F,STE_ICSE93_1,2001,92.27,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_IMN_EMP_TEMP_SEX_STE_DT(1.0),YI,IMN,A,1248,EMP_TEMP_DT,SEX_T,STE_ICSE93_TOTAL,2001,100,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_IMN_EMP_TEMP_SEX_STE_DT(1.0),YI,IMN,A,1248,EMP_TEMP_DT,SEX_F,STE_ICSE93_TOTAL,2001,100,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_IMN_EMP_TEMP_SEX_STE_DT(1.0),YI,IMN,A,1248,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,2001,2.44,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_IMN_EMP_TEMP_SEX_STE_DT(1.0),YI,IMN,A,1248,EMP_TEMP_DT,SEX_T,STE_ICSE93_1,2001,85.40,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_IMN_EMP_TEMP_SEX_STE_DT(1.0),YI,IMN,A,1248,EMP_TEMP_DT,SEX_T,STE_ICSE93_2,2001,4.46,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_IMN_EMP_TEMP_SEX_STE_DT(1.0),YI,IMN,A,1248,EMP_TEMP_DT,SEX_M,STE_ICSE93_2,2001,6.14,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_IMN_EMP_TEMP_SEX_STE_DT(1.0),YI,IMN,A,1248,EMP_TEMP_DT,SEX_F,STE_ICSE93_3,2001,5.29,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
