DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,STE,TIME_PERIOD,OBS_VALUE,S3,T3,I13,S4,R1,T5,S14,C2,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,1983,3.09,,,,,2384,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,1985,2.44,,,,,2384,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,1988,1.74,,,,,2384,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2006,0.20,,,,,2384,,,,,,,,U,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2008,0.22,,,,,2384,,,,,,,,U,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2015,0.81,,,,,2384,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,1989,1.71,,,,,2384,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,1997,0.68,,,,,2384,,,,,,,,U,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2012,0.47,,,,,2384,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,1998,0.56,,,,,2384,,,,,,,,U,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2003,0.18,,,,,2384,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2005,0.27,,,,,2384,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2009,0.65,,,,,2384,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2013,0.40,,,,,2384,,,,,,,,U,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2001,0.56,,,,,2384,,,,,,,,U,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2002,0.56,,,,,2384,,,,,,,,U,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2018,0.86,,,,,2384,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LUX_EMP_TEMP_SEX_STE_DT(1.0),YI,LUX,A,2261,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,1984,2.61,,,,,2384,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
