DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,STE,TIME_PERIOD,OBS_VALUE,S3,T3,I13,S4,R1,T5,S14,C2,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2003,20.13,24,,,,,,,,,,,41,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2012,25.36,24,,,,,,,,,,,41,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2017,22.55,24,,,,,,4077,,,,,38,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2011,27.59,24,,,,,,,,,,,41,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2013,24.85,24,,,,,,,,,,,41,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2014,24.90,24,,,,,,,,,,,41,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2018,23.13,24,,,,,,4077,,,,,38,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2006,48.87,24,,,,,,,,,,,41,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2009,21.77,24,,,,,,,,,,,41,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2015,21.28,24,,,,,,,,,,,41,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2007,40.53,24,,,,,,,,,,,41,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2008,47.35,24,,,,,,,,,,,41,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2010,22.56,24,,,,,,,,,,,41,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,125,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2016,22.56,24,,,,,,,,,,,38,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,887,EMP_TEMP_DT,SEX_T,STE_ICSE93_2,2003,4.43,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,887,EMP_TEMP_DT,SEX_T,STE_ICSE93_2,2004,4.29,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,887,EMP_TEMP_DT,SEX_T,STE_ICSE93_2,2005,3.25,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,887,EMP_TEMP_DT,SEX_M,STE_ICSE93_TOTAL,2004,100,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,887,EMP_TEMP_DT,SEX_M,STE_ICSE93_TOTAL,2005,100,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,887,EMP_TEMP_DT,SEX_M,STE_ICSE93_TOTAL,2003,100,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,887,EMP_TEMP_DT,SEX_M,STE_ICSE93_4,2004,0.48,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,887,EMP_TEMP_DT,SEX_M,STE_ICSE93_4,2003,0.48,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_AZE_EMP_TEMP_SEX_STE_DT(1.0),YI,AZE,A,887,EMP_TEMP_DT,SEX_M,STE_ICSE93_4,2005,0.38,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_STE_DT
